energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity
0.733,0.202,88.043,0.049,0.0184,1.89e-05,4,0.64,8,144438,-3.127,0.369,1,Zach Hood,Just Kids,48
0.722,0.307,93.491,0.217,0.142,0.0,4,0.373,1,183723,-5.654,0.574,0,James Arthur,Deja Vu,68
0.478,0.186,110.001,0.0437,0.052,0.0275,4,0.864,9,128771,-7.229,0.479,1,Lolo Zouaï,Scooter,51
0.4,0.0871,127.3,0.026,0.456,0.00137,4,0.611,2,319288,-11.388,0.263,1,Radiohead,Follow Me Around,57
0.531,0.192,88.009,0.0477,0.266,1.8e-06,4,0.747,8,184768,-5.99,0.785,1,Dijon,The Dress,61
0.517,0.127,84.996,0.058,0.0961,0.0,4,0.752,11,131373,-8.303,0.647,0,Trevor Daniel,Dadada,60
0.331,0.12,180.827,0.241,0.631,0.000148,4,0.386,10,206040,-9.706,0.322,1,Lauren Jauregui,On Guard (feat. 6lack),63
0.75,0.741,147.979,0.0401,0.0908,0.0485,4,0.573,10,139837,-9.716,0.301,0,Ethan Bortnick,cut my fingers off,56
0.755,0.0989,155.973,0.0354,0.00838,0.0,4,0.464,4,216764,-5.707,0.449,1,Thomas Rhett,Slow Down Summer,68
0.325,0.155,126.877,0.127,0.509,0.0,4,0.79,4,163311,-11.689,0.539,1,Russell Dickerson,She Likes It (feat. Jake Scott),58
0.728,0.0982,92.062,0.0416,0.0942,0.0,4,0.505,4,235435,-3.492,0.239,0,Little Mix,Between Us,71
0.848,0.347,114.96,0.0518,0.0313,1.58e-06,4,0.617,11,197045,-2.825,0.473,0,Amy Allen,RIP,46
0.743,0.143,149.868,0.0605,0.0534,0.0,4,0.548,3,141466,-5.673,0.696,0,Max Leone,Repeat Caller,42
0.724,0.353,148.457,0.358,0.318,0.0,4,0.45,0,170887,-5.592,0.671,1,PnB Rock,HIGH,58
0.687,0.403,88.001,0.0295,0.385,0.00394,4,0.477,2,170333,-6.469,0.724,1,ABBA,When You Danced With Me,73
0.704,0.0758,120.008,0.036,0.00675,0.000137,4,0.533,11,246587,-7.902,0.219,0,Frances Forever,Certified Fool,45
0.618,0.351,82.03,0.0437,0.0558,0.0,4,0.627,2,197443,-8.529,0.848,1,Bruno Mars,Smokin Out The Window,82
0.543,0.274,134.917,0.0517,0.0193,0.0,4,0.772,10,165422,-7.078,0.357,0,French Montana,Panicking,63
0.594,0.175,119.984,0.104,0.563,0.0,4,0.889,10,123200,-6.593,0.758,0,2 Chainz,Wreck (feat. Big Sean),61
0.906,0.1,121.997,0.0369,0.0842,0.00834,4,0.559,4,234098,-2.819,0.444,0,Bob Moses,Time and Time Again - Single Edit,57
0.733,0.084,130.019,0.261,0.0793,1.99e-06,4,0.939,11,134951,-4.374,0.614,0,Yella Beezy,I Guess,50
0.792,0.0671,130.012,0.0356,0.0695,0.000242,4,0.78,11,264758,-5.572,0.937,0,Ozuna,Señor Juez,67
0.736,0.257,109.979,0.0451,0.024,0.0,4,0.68,0,181799,-3.211,0.77,1,Thomas Headon,Strawberry Kisses,49
0.304,0.233,119.967,0.0608,0.386,6.92e-05,4,0.522,4,276092,-13.561,0.102,1,FLØRE,Another year like that and we'd all be dead,41
0.591,0.102,151.089,0.0301,0.353,0.00412,4,0.52,6,279187,-3.225,0.359,1,Nathaniel Rateliff & The Night Sweats,Face Down In The Moment,57
0.575,0.253,130.003,0.0303,0.049,0.00117,4,0.665,6,211600,-9.174,0.387,0,Hana Vu,Aubade,42
0.537,0.0877,130.048,0.299,0.311,0.0,4,0.893,1,163867,-6.912,0.381,1,Key Glock,Something Bout Me,66
0.444,0.126,145.975,0.0293,0.79,0.0,4,0.393,10,204259,-7.45,0.193,1,Cian Ducrot,Hello Gorgeous,46
0.921,0.0334,152.143,0.0467,0.00109,1.25e-06,4,0.473,1,195662,-3.522,0.39,1,Simple Plan,The Antidote,62
0.738,0.307,122.035,0.0295,0.149,7.77e-06,4,0.756,5,200164,-5.544,0.665,1,Alok,Wherever You Go (feat. John Martin),62
0.738,0.479,159.941,0.0546,0.0905,0.0,4,0.567,0,194136,-7.194,0.678,1,Whethan,2 MUCH (feat. Jasiah & KA$HDAMI),56
0.287,0.11,98.052,0.0346,0.677,0.00246,4,0.645,6,191085,-8.43,0.0639,1,Hyd,The One,39
0.692,0.103,102.141,0.323,0.398,0.0,4,0.805,10,167059,-7.353,0.541,1,Hotboii,Doctor (feat. Lil Tjay),58
0.609,0.361,154.002,0.324,0.00595,0.0,4,0.847,11,162003,-6.436,0.815,0,Pressa,"Cool, Calm & Collected (feat. Swae Lee)",54
0.116,0.065,105.322,0.047,0.869,0.00457,4,0.579,2,351293,-19.506,0.466,1,alt-J,Get Better,43
0.618,0.279,89.04,0.0672,0.0321,1.73e-06,4,0.72,10,155760,-6.364,0.614,1,Clubhouse,Home Videos,44
0.678,0.141,120.019,0.0386,0.631,0.233,4,0.788,4,220000,-8.584,0.39,0,Rich Brian,New Tooth,63
0.798,0.685,127.89,0.0337,0.141,0.0,4,0.782,4,152182,-5.07,0.905,0,Tai Verdes,Let's go to Hell,67
0.862,0.103,78.444,0.21,0.108,1.29e-05,4,0.591,8,197043,-5.982,0.806,1,Malik Moses,Show Me Something,42
0.399,0.134,145.918,0.557,0.0147,1.08e-06,4,0.899,1,118356,-17.577,0.629,1,Bobby Shmurda,Splash,57
0.354,0.102,78.197,0.0349,0.706,0.0,4,0.454,3,172522,-9.656,0.205,1,Peach PRC,Heavy,61
0.401,0.0748,91.011,0.194,0.0196,1.91e-06,4,0.808,11,221813,-9.464,0.626,0,Saba,Fearmonger (feat. Daoud),54
0.25,0.109,109.048,0.0306,0.743,7.26e-05,4,0.565,11,197815,-8.927,0.163,0,Omar Apollo,Bad Life (feat. Kali Uchis),65
0.757,0.3,89.972,0.213,0.0456,0.000138,4,0.623,2,160614,-5.502,0.608,0,Kid Bloom,Like I Never Left,45
0.542,0.141,91.011,0.0455,0.128,0.0,4,0.839,7,192578,-5.189,0.726,0,TheHxliday,Doses,49
0.446,0.0925,139.583,0.0262,0.67,0.000308,4,0.424,1,216827,-6.063,0.275,1,Blake Shelton,We Can Reach The Stars,57
0.492,0.111,109.975,0.0483,0.0775,6.71e-06,4,0.855,0,240000,-7.578,0.385,0,Travis Scott,MAFIA,82
0.685,0.274,159.975,0.0719,0.322,0.000855,4,0.672,1,162171,-6.166,0.772,1,corook,sims,46
0.551,0.0846,140.042,0.327,0.054,0.0,4,0.702,9,150885,-10.062,0.515,1,SpotemGottem,SRT,50
0.595,0.144,88.991,0.0419,0.229,0.0,4,0.648,8,177434,-6.609,0.531,1,iann dior,Circles,54
0.506,0.13,154.12,0.133,0.00207,0.0,4,0.839,5,149610,-6.714,0.44,0,Travis Scott,ESCAPE PLAN,85
0.701,0.107,79.805,0.0369,0.0387,0.0,4,0.472,2,169440,-4.563,0.515,1,Gabby Barrett,Pick Me Up,53
0.559,0.0969,155.947,0.314,0.0281,0.0,4,0.751,10,110769,-7.147,0.651,0,Latto,Soufside,59
0.517,0.174,140.009,0.157,0.125,0.0,4,0.835,4,192000,-6.742,0.544,0,YSB Tril,Brand New (with Kill Jasper),44
0.551,0.618,164.112,0.282,0.425,0.015,4,0.606,9,170878,-7.431,0.544,0,Serena Isioma,Crying In The Club,46
0.781,0.0755,97.014,0.053,0.0361,0.0,4,0.687,1,193507,-4.806,0.688,1,Post Malone,One Right Now (with The Weeknd),85
0.606,0.0745,115.004,0.0372,0.408,0.953,4,0.68,11,254609,-10.16,0.0379,1,Emmit Fenn,Hollow,54
0.455,0.348,106.997,0.0747,0.145,9.92e-06,4,0.846,6,145794,-4.237,0.555,0,IV4,Stroke (feat. Jeremih),54
0.819,0.0819,124.75,0.0391,0.0476,0.0289,4,0.659,2,289653,-7.596,0.878,0,Parcels,Famous,59
0.481,0.07,137.949,0.359,0.00388,0.0,4,0.925,9,111304,-8.667,0.712,1,Soldier Kidd,Judy,48
0.772,0.0801,115.028,0.0807,0.0474,0.0466,4,0.676,7,180327,-7.93,0.302,1,Col3trane,Californication (Feels Like I'm Falling In Love),49
0.356,0.087,139.708,0.0364,0.804,0.0,4,0.514,10,182840,-8.696,0.279,1,Thomas Day,Overplayed,53
0.328,0.3,204.851,0.0457,0.733,0.0,3,0.341,4,228799,-10.051,0.319,1,Kings Elliot,Call Me A Dreamer,47
0.31,0.0959,115.027,0.0556,0.774,0.687,4,0.833,7,171380,-14.197,0.424,0,Mindchatter,Inch Off The Earth,42
0.712,0.24,95.025,0.0328,0.103,0.0,4,0.619,4,163348,-6.893,0.35,0,Arca,Prada,59
0.338,0.0845,116.985,0.0676,0.25,0.0,4,0.981,9,123983,-6.091,0.606,1,Aminé,NEO,68
0.618,0.293,133.876,0.19,0.17,0.0,4,0.707,1,231498,-5.825,0.517,0,Summer Walker,No Love (with SZA),78
0.923,0.168,114.061,0.0426,0.00684,0.002,4,0.595,7,197812,-4.866,0.811,1,Alfie Templeman,3D Feelings,56
0.72,0.191,115.998,0.0282,0.00661,0.0143,4,0.708,10,202321,-8.648,0.523,0,Flight Facilities,Heavy (feat. Your Smith),52
0.709,0.131,103.959,0.0295,0.3,0.0,4,0.634,11,170844,-6.478,0.548,1,Clifford The Big Red Dog,Room For You - Original Song from Clifford The Big Red Dog performed by Madison Beer,54
0.787,0.104,108.007,0.218,0.378,1.11e-05,4,0.752,1,153889,-5.829,0.268,0,Don Diablo,Get Out Get Hurt,60
0.703,0.1,75.009,0.0278,0.0776,1.81e-06,4,0.547,1,202202,-6.287,0.385,1,LANY,"the older you get, the less you cry",66
0.94,0.0489,120.027,0.0473,0.00355,0.00376,4,0.65,0,264199,-4.152,0.647,1,Foals,Wake Me Up,65
0.763,0.0901,117.953,0.0435,0.0301,2.23e-05,4,0.754,7,164819,-4.627,0.464,0,Tiësto,The Motto,76
0.74,0.25,104.991,0.0518,0.668,0.0,4,0.64,10,277751,-3.704,0.343,0,Dalex,Máquina del Tiempo,62
0.564,0.11,142.036,0.0435,0.123,0.00151,4,0.775,6,188240,-9.41,0.267,1,Houndmouth,Miracle Mile,51
0.645,0.184,142.07,0.0643,0.0836,2.26e-06,4,0.778,0,168421,-6.374,0.558,1,Audrey Mika,Strangers,51
0.912,0.0919,114.926,0.0905,0.0546,0.0,4,0.645,1,218460,-3.036,0.546,0,Diana Ross,I Still Believe,53
0.0394,0.112,73.984,0.0537,0.922,0.0125,4,0.483,4,132000,-19.525,0.146,1,Montell Fish,Fall in Love with You.,65
0.26,0.273,185.998,0.0373,0.706,0.000385,3,0.559,10,249807,-12.114,0.314,1,Hajaj,Follow Me Into The Dark,46
0.665,0.149,114.937,0.11,0.00337,0.0,4,0.861,1,118049,-5.58,0.542,1,Money Man,Blockchain,52
0.733,0.293,157.936,0.143,0.00462,1.32e-05,4,0.685,1,223991,-6.184,0.55,1,Terrace Martin,This Morning (feat. Arin Ray & Smino),53
0.573,0.109,169.968,0.188,0.23,2.48e-05,4,0.547,8,155797,-6.724,0.426,1,Camylio,bones,49
0.837,0.0901,74.966,0.294,0.347,0.0,1,0.405,8,201507,-4.188,0.655,0,Bizarrap,"Anuel AA: Bzrp Music Sessions, Vol. 46",79
0.74,0.032,107.061,0.0552,0.111,0.0,4,0.735,0,200688,-4.929,0.553,1,Charli XCX,New Shapes (feat. Christine and the Queens and Caroline Polachek),70
0.434,0.0697,139.93,0.0295,0.148,0.0,4,0.45,0,422135,-9.544,0.143,1,Hillsong Worship,Resurrender - Live,50
0.508,0.537,83.909,0.0342,0.402,0.818,4,0.502,6,201773,-10.232,0.0616,1,Bleachers,Drive - Recorded at Electric Lady Studio,55
0.616,0.287,127.925,0.328,0.241,0.0,4,0.826,2,181199,-5.479,0.612,1,NLE Choppa,Jumpin (feat. Polo G),72
0.747,0.173,120.083,0.0752,0.339,2.14e-06,4,0.67,5,200840,-6.531,0.527,0,Aiyana-Lee,Rich Kids,47
0.336,0.0798,154.944,0.203,0.878,2.51e-05,4,0.661,7,268733,-12.942,0.494,1,Lorde,Hold No Grudge - Bonus Track,67
0.481,0.226,144.097,0.0254,0.00865,1.18e-05,4,0.516,6,213207,-6.587,0.196,1,Kameron Marlowe,Steady Heart,50
0.312,0.0845,76.369,0.0378,0.53,9.4e-06,4,0.467,9,217155,-11.64,0.157,1,Tenille Townes,Villain in Me,51
0.762,0.0955,126.031,0.0731,0.0207,0.0267,4,0.804,11,232877,-3.56,0.753,1,Slayyyter,Stupid Boy (feat. Big Freedia),53
0.809,0.349,118.04,0.0344,0.00386,0.00296,4,0.609,11,140760,-4.972,0.763,0,Snail Mail,Glory,58
0.681,0.0925,121.985,0.03,0.0695,4.76e-05,4,0.641,4,179733,-7.588,0.195,1,The Aubreys,In the Ground,42
0.637,0.0545,183.968,0.0274,0.28,0.0,4,0.38,5,210280,-7.128,0.392,1,U2,Your Song Saved My Life - From Sing 2,65
0.716,0.113,171.98,0.0505,0.234,3.85e-05,4,0.491,9,199535,-10.443,0.211,1,Quadeca,Dasani (feat. DC The Don and SEBii),51
0.457,0.178,75.045,0.0568,0.203,0.00588,4,0.675,6,165960,-9.728,0.457,0,Kito,Tongue Tied (feat. Terror Jr),46
0.713,0.513,143.052,0.241,0.495,0.0,4,0.723,2,158601,-6.879,0.803,0,ArrDee,Flowers (Say My Name),72
0.639,0.123,144.909,0.432,0.117,0.0,4,0.892,8,159327,-5.53,0.379,1,City Girls,"Scared - from the ""Bruised"" Soundtrack",49
